"rgn_id","taxa_code","taxa_group","year","tonnes"
5,"Blue shrimp_1","SH",1983,"0"
5,"Blue shrimp_1","SH",1984,"0"
5,"Blue shrimp_1","SH",1985,"0"
5,"Blue shrimp_1","SH",1986,"0"
5,"Blue shrimp_1","SH",1987,"0"
5,"Blue shrimp_1","SH",1988,"0"
5,"Blue shrimp_1","SH",1989,"0"
5,"Blue shrimp_1","SH",1990,"0"
5,"Blue shrimp_1","SH",1991,"0"
5,"Blue shrimp_1","SH",1992,"0"
5,"Blue shrimp_1","SH",1993,"0"
5,"Blue shrimp_1","SH",1994,"0"
5,"Blue shrimp_1","SH",1995,"0"
5,"Blue shrimp_1","SH",1996,"0"
5,"Blue shrimp_1","SH",1997,"0"
5,"Blue shrimp_1","SH",1998,"0"
5,"Blue shrimp_1","SH",1999,"0"
5,"Blue shrimp_1","SH",2000,"0"
5,"Blue shrimp_1","SH",2001,"0"
5,"Blue shrimp_1","SH",2002,"0"
5,"Blue shrimp_1","SH",2003,"0"
5,"Blue shrimp_1","SH",2004,"0"
5,"Blue shrimp_1","SH",2005,"0"
5,"Blue shrimp_1","SH",2006,"0"
5,"Blue shrimp_1","SH",2007,"0"
5,"Blue shrimp_1","SH",2008,"0"
5,"Blue shrimp_1","SH",2009,"0"
5,"Blue shrimp_1","SH",2010,"0"
5,"Blue shrimp_1","SH",2011,"0"
5,"Blue shrimp_1","SH",2012,"0"
5,"Blue shrimp_1","SH",2013,"0"
5,"Blue shrimp_1","SH",2014,"0"
5,"Blue shrimp_1","SH",2015,"0"
5,"Blue shrimp_1","SH",2016,"0"
5,"Blue shrimp_1","SH",2017,"0"
5,"Pacific cupped oyster_2","BI",1989,"0"
5,"Pacific cupped oyster_2","BI",1990,"0"
5,"Pacific cupped oyster_2","BI",1991,"0"
5,"Pacific cupped oyster_2","BI",1992,"0"
5,"Pacific cupped oyster_2","BI",1993,"0"
5,"Pacific cupped oyster_2","BI",1994,"0"
5,"Pacific cupped oyster_2","BI",1995,"0"
5,"Pacific cupped oyster_2","BI",1996,"0"
5,"Pacific cupped oyster_2","BI",1997,"0"
5,"Pacific cupped oyster_2","BI",1998,"0"
5,"Pacific cupped oyster_2","BI",1999,"0"
5,"Pacific cupped oyster_2","BI",2000,"0"
5,"Pacific cupped oyster_2","BI",2001,"0"
5,"Pacific cupped oyster_2","BI",2002,"0"
5,"Pacific cupped oyster_2","BI",2003,"0"
5,"Pacific cupped oyster_2","BI",2004,"0"
5,"Pacific cupped oyster_2","BI",2005,"0"
5,"Pacific cupped oyster_2","BI",2006,"0"
5,"Pacific cupped oyster_2","BI",2007,"0"
5,"Pacific cupped oyster_2","BI",2008,"0"
5,"Pacific cupped oyster_2","BI",2009,"0"
5,"Pacific cupped oyster_2","BI",2010,"0"
5,"Pacific cupped oyster_2","BI",2011,"0"
5,"Pacific cupped oyster_2","BI",2012,"0"
5,"Pacific cupped oyster_2","BI",2013,"0"
5,"Pacific cupped oyster_2","BI",2014,"0"
5,"Pacific cupped oyster_2","BI",2015,"NA_to_zero"
5,"Pacific cupped oyster_2","BI",2016,"NA_to_zero"
5,"Pacific cupped oyster_2","BI",2017,"NA_to_zero"
6,"Blue shrimp_3","SH",2006,"0"
6,"Blue shrimp_3","SH",2007,"0"
6,"Blue shrimp_3","SH",2008,"0"
6,"Blue shrimp_3","SH",2009,"NA_to_zero"
6,"Blue shrimp_3","SH",2010,"NA_to_zero"
6,"Blue shrimp_3","SH",2011,"NA_to_zero"
6,"Blue shrimp_3","SH",2012,"NA_to_zero"
6,"Blue shrimp_3","SH",2013,"0"
6,"Blue shrimp_3","SH",2014,"0"
6,"Blue shrimp_3","SH",2015,"NA_to_zero"
6,"Blue shrimp_3","SH",2016,"NA_to_zero"
6,"Blue shrimp_3","SH",2017,"NA_to_zero"
6,"Whiteleg shrimp_4","SH",2010,"0"
6,"Whiteleg shrimp_4","SH",2011,"0"
6,"Whiteleg shrimp_4","SH",2012,"0"
6,"Whiteleg shrimp_4","SH",2013,"NA_to_zero"
6,"Whiteleg shrimp_4","SH",2014,"NA_to_zero"
6,"Whiteleg shrimp_4","SH",2015,"0"
6,"Whiteleg shrimp_4","SH",2016,"0"
6,"Whiteleg shrimp_4","SH",2017,"0"
7,"Giant tiger prawn_5","SH",1987,"0"
7,"Giant tiger prawn_5","SH",1988,"0"
7,"Giant tiger prawn_5","SH",1989,"0"
7,"Giant tiger prawn_5","SH",1990,"0"
7,"Giant tiger prawn_5","SH",1991,"0"
7,"Giant tiger prawn_5","SH",1992,"0"
7,"Giant tiger prawn_5","SH",1993,"0"
7,"Giant tiger prawn_5","SH",1994,"0"
7,"Giant tiger prawn_5","SH",1995,"0"
7,"Giant tiger prawn_5","SH",1996,"0"
7,"Giant tiger prawn_5","SH",1997,"0"
7,"Giant tiger prawn_5","SH",1998,"0"
7,"Giant tiger prawn_5","SH",1999,"0"
7,"Giant tiger prawn_5","SH",2000,"0"
7,"Giant tiger prawn_5","SH",2001,"0"
7,"Giant tiger prawn_5","SH",2002,"NA_to_zero"
7,"Giant tiger prawn_5","SH",2003,"NA_to_zero"
7,"Giant tiger prawn_5","SH",2004,"NA_to_zero"
7,"Giant tiger prawn_5","SH",2005,"NA_to_zero"
