RAM_species,Watson_species
Bathyraja parmifera,NA
Caulolatilus microps,NA
Centroberyx gerrardi,NA
Chionoecetes bairdi,Chionoecetes
Chrysophrys auratus,Pagrus auratus
Cleisthenes herzensteini,NA
Eopsetta grigorjewi,NA
Etrumeus teres,NA
Haliotis iris,Haliotis
Hexagrammos decagrammus,NA
Istiompax indica,Makaira indica
Kajikia audax,Tetrapturus audax
Lepidopsetta polyxystra,NA
Lepidorhombus spp.,Lepidorhombus
Loligo reynaudii,Loligo vulgaris
Merluccius gayi,Merluccius gayi gayi
Neoplatycephalus richardsoni,NA
Pagrus major,NA
Platycephalus conatus,NA
Sardinella spp,Sardinella
Sardinops melanostictus,Sardinops sagax
Scomber colias,Scomber japonicus 
Scorpaena guttata,NA
Sebastes aleutianus,NA
Sebastes auriculatus,NA
Sebastes aurora,NA
Sebastes caurinus,NA
Sebastes chlorostictus,NA
Sebastes crameri,NA
Sebastes diploproa,NA
Sebastes elongatus,NA
Sebastes fasciatus,Sebastes viviparus
Sebastes levis,NA
Sebastes melanostomus,NA
Sebastes nebulosus,NA
Sebastes polyspinis,NA
Sebastes ruberrimus,NA
Sebastes spp,Sebastes
Sebastes variabilis,NA
Sebastolobus altivelis,NA
Sebastolobus macrochir,NA
Seriola quinqueradiata,NA
Sphyrna tiburo,NA
Squalus suckleyi,Squalus acanthias
Takifugu rubripes,NA
Tanakius kitaharae,NA
Zearaja chilensis,NA
Sillago flindersi,NA
Ammodytes spp,NA
Sebastes norvegicus,Sebastes marinus
